student_uni_id,coursecode,attendance
2400030098,24SC2006,97
2400030098,24SDCS01,84
2400030098,OEAR0001,59
2400030100,24AD2103,89
2400030100,24AD2001,83
2400030100,24CS2202,96
2400030100,24EC2106,100
2400030100,24MT2012,93
2400030100,24SC2006,84
2400030100,24SDCS01,91
2400030111,24AD2103,100
2400030111,24AD2001,100
2400030111,24AD01HF,100
2400030111,24CS2101,100
2400030111,24MT2019,85
2400030111,24SC2006,88
2400030111,24SDCS01,100
2400030111,23UC0009,100
2400030116,24AD2103,87
2400030116,24AD2001,84
2400030116,24CS2202,97
2400030116,24MT2012,100
2400030116,24SC2006,96
2400030116,24SDCS01,93
2400030116,23FL3058,100
2400030117,24AD2103,85
2400030117,24AD2001,100
2400030117,24CS2101,100
2400030117,24MT2019,100
2400030117,24SC2006,100
2400030117,24SDCS01,100
2400030117,24MB4055,78
2400030121,24AD2103,89
2400030121,24AD2001,96
2400030121,24AD01HF,73
2400030121,24CS2101,80
2400030121,24MT2012,86
2400030121,24SC2006,82
2400030121,24SDCS01,76
2400030122,24AD2103,93
2400030122,24AD2001,100
2400030122,24AD01HF,92
2400030122,24CS2101,100
2400030122,24MT2019,93
2400030122,24SC2006,100
2400030122,24SDCS01,100
2400030125,24AD2103,93
2400030125,24AD2001,84
2400030125,24CS2101,91
2400030125,24EC2106,88
2400030125,24MT2012,85
2400030125,24SC2006,98
2400030125,24SDCS01,96
2400030125,OEEE0013,87
2400030147,24AD2103,100
2400030147,24AD2001,100
2400030147,24AD01HF,92
2400030147,24CS2101,100
2400030147,24MT2012,100
2400030147,24SC2006,100
2400030147,24SDCS01,96
2400030147,23UC0008,91
2400030149,24AD2001,100
2400030149,24CS2202,100
2400030149,24CS2101,100
2400030149,24EC2106,100
2400030149,24MT2019,100
2400030149,24SDCS01,100
2400030149,24CS2203,97
2400030167,24AD2103,86
2400030167,24AD2001,100
2400030167,24CS2101,97
2400030167,24EC2106,96
2400030167,24MT2019,100
2400030167,24SC2006,96
2400030167,24SDCS01,100
2400030167,OEEE0013,86
2400030179,24AD2001,96
2400030179,24AD01HF,95
2400030179,24CS2202,100
2400030179,24CS2101,93
2400030179,24MT2019,100
2400030179,24SDCS01,100
2400030179,24CS2203,100
2400030182,24AD2103,100
2400030182,24AD2001,92
2400030182,24CS2202,97
2400030182,24MT2012,100
2400030182,24SC2006,94
2400030182,24SDCS01,100
2400030182,24MB4055,89
2400030191,24AD2103,85
2400030191,24AD2001,83
2400030191,24CS2202,83
2400030191,24EC2106,71
2400030191,24MT2012,86
2400030191,24SC2006,70
2400030191,24SDCS01,72
2400030193,24AD2103,81
2400030193,24AD2001,76
2400030193,24AD01HF,74
2400030193,24CS2101,68
2400030193,24MT2019,85
2400030193,24SC2006,74
2400030193,24SDCS01,74
2400030197,24AD2103,100
2400030197,24AD2001,100
2400030197,24CS2202,93
2400030197,24EC2106,96
2400030197,24MT2019,100
2400030197,24SC2006,91
2400030197,24SDCS01,97
2400030199,24AD2103,97
2400030199,24AD2001,87
2400030199,24CS2202,80
2400030199,24MT2012,86
2400030199,24SC2006,80
2400030199,24SDCS01,96
2400030200,24AD2103,58
2400030200,24AD2001,48
2400030200,24CS2101,65
2400030200,24MT2019,62
2400030200,24SC2006,50
2400030200,24SDCS01,62
2400030200,OEAR0001,54
2400030201,24AD2103,100
2400030201,24AD2001,100
2400030201,24CS2101,90
2400030201,24EC2106,92
2400030201,24MT2019,100
2400030201,24SC2006,89
2400030201,24SDCS01,100
2400030201,23UC0009,93
2400030221,24AD2001,88
2400030221,24AD01HF,82
2400030221,24CS2202,79
2400030221,24CS2101,93
2400030221,24MT2012,77
2400030221,24SDCS01,84
2400030221,OEAR0001,87
2400030221,24CS2203,85
2400030223,24AD2001,96
2400030223,24CS2202,95
2400030223,24CS2101,75
2400030223,24EC2106,92
2400030223,24MT2012,93
2400030223,24SDCS01,100
2400030223,24CS2203,92
2400030223,24MB4055,100
2400030227,24AD2001,92
2400030227,24CS2202,91
2400030227,24CS2101,92
2400030227,24EC2106,92
2400030227,24MT2012,77
2400030227,24SDCS01,96
2400030227,24CS2203,92
2400030227,24MB4055,100
2400030229,24AD2001,84
2400030229,24CS2202,95
2400030229,24CS2101,90
2400030229,24EC2106,83
2400030229,24MT2012,93
2400030229,24SDCS01,89
2400030229,24CS2203,83
2400030230,24AD2103,100
2400030230,24AD2001,96
2400030230,24AD01HF,92
2400030230,24CS2101,100
2400030230,24MT2012,100
2400030230,24SC2006,88
2400030230,24SDCS01,88
2400030230,OEEE0013,94
2400030231,24AD2103,100
2400030231,24AD2001,100
2400030231,24AD01HF,100
2400030231,24CS2101,100
2400030231,24MT2019,100
2400030231,24SC2006,100
2400030231,24SDCS01,100
2400030231,OEEE0013,100
2400030245,24AD2103,91
2400030245,24AD2001,96
2400030245,24AD01HF,96
2400030245,24CS2101,97
2400030245,24MT2019,100
2400030245,24SC2006,91
2400030245,24SDCS01,97
2400030254,24AD2103,100
2400030254,24AD2001,100
2400030254,24AD01HF,100
2400030254,24CS2101,100
2400030254,24MT2019,100
2400030254,24SC2006,100
2400030254,24SDCS01,100
2400030254,OECE0001,100
2400030261,24AD2103,100
2400030261,24AD2001,92
2400030261,24CS2202,93
2400030261,24MT2019,100
2400030261,24SC2006,83
2400030261,24SDCS01,72
2400030261,OEEE0013,88
2400030262,24AD2103,100
2400030262,24AD2001,96
2400030262,24CS2101,88
2400030262,24EC2106,87
2400030262,24MT2019,93
2400030262,24SC2006,100
2400030262,24SDCS01,100
2400030262,OEAR0001,84
2400030265,24AD2103,91
2400030265,24AD2001,92
2400030265,24CS2101,93
2400030265,24EC2106,87
2400030265,24MT2019,93
2400030265,24SC2006,96
2400030265,24SDCS01,100
2400030265,23FL3058,86
2400030276,24AD2103,96
2400030276,24AD2001,72
2400030276,24AD01HF,72
2400030276,24CS2101,79
2400030276,24MT2012,85
2400030276,24SC2006,66
2400030276,24SDCS01,71
2400030280,24AD2103,91
2400030280,24AD2001,100
2400030280,24CS2202,100
2400030280,24MT2019,100
2400030280,24SC2006,100
2400030280,24SDCS01,100
2400030280,24MB4055,100
2400030285,24AD2103,100
2400030285,24AD2001,100
2400030285,24CS2202,100
2400030285,24EC2106,96
2400030285,24MT2012,100
2400030285,24SC2006,96
2400030285,24SDCS01,93
2400030289,24AD2103,100
2400030289,24AD2001,100
2400030289,24CS2101,100
2400030289,24EC2106,100
2400030289,24MT2019,100
2400030289,24SC2006,100
2400030289,24SDCS01,100
2400030289,OECE0003,100
2400030291,24AD2103,93
2400030291,24AD2001,92
2400030291,24AD01HF,87
2400030291,24CS2101,92
2400030291,24MT2019,93
2400030291,24SC2006,100
2400030291,24SDCS01,92
2400030291,23UC0008,82
2400030293,24AD2001,75
2400030293,24CS2202,75
2400030293,24CS2101,75
2400030293,24EC2106,60
2400030293,24MT2012,85
2400030293,24SDCS01,74
2400030293,OEEE0013,79
2400030293,24CS2203,83
2400030302,24AD2103,96
2400030302,24AD2001,92
2400030302,24CS2202,86
2400030302,24MT2012,77
2400030302,24SC2006,58
2400030302,24SDCS01,81
2400030304,24AD2001,96
2400030304,24AD01HF,100
2400030304,24CS2101,100
2400030304,24MT2019,100
2400030304,24SDCS01,100
2400030304,24CS2203,100
2400030304,24MB4055,89
2400030306,24AD2103,93
2400030306,24AD2001,100
2400030306,24CS2101,100
2400030306,24EC2106,100
2400030306,24MT2012,100
2400030306,24SC2006,100
2400030306,24SDCS01,96
2400030306,OEEE0013,100
2400030309,24AD2103,100
2400030309,24AD2001,100
2400030309,24AD01HF,88
2400030309,24CS2101,100
2400030309,24MT2019,100
2400030309,24SC2006,93
2400030309,24SDCS01,75
2400030316,24AD2001,100
2400030316,24AD01HF,92
2400030316,24CS2202,100
2400030316,24CS2101,100
2400030316,24MT2019,93
2400030316,24SDCS01,100
2400030316,OEEE0013,100
2400030316,24CS2203,100
2400030326,24AD2103,87
2400030326,24AD2001,79
2400030326,24CS2202,93
2400030326,24EC2106,84
2400030326,24MT2012,93
2400030326,24SC2006,91
2400030326,24SDCS01,93
2400030326,23FL3058,89
2400030342,24AD2103,91
2400030342,24AD2001,84
2400030342,24CS2202,97
